user_id,user_segment,acquisition_channel,signup_date,account_tier,lifetime_value,region,city,state
1,Gig Worker,Instagram Ads,2024-03-15,Basic,215.50,South,Austin,TX
2,Gig Worker,TikTok Ads,2024-02-20,Basic,189.25,West,Los Angeles,CA
3,Gig Worker,Referral Program,2024-01-10,Premium,267.80,South,Miami,FL
4,Gig Worker,Instagram Ads,2024-04-05,Basic,198.40,West,Phoenix,AZ
5,Young Professional,Paid Search (Google),2023-11-20,Premium,342.60,East,New York,NY
6,Young Professional,Instagram Ads,2024-01-15,Premium Plus,425.30,West,San Francisco,CA
7,Young Professional,Organic Search,2023-10-05,Premium,378.90,East,Boston,MA
8,Young Professional,Referral Program,2024-02-28,Premium Plus,401.20,South,Atlanta,GA
9,Student,TikTok Ads,2024-05-10,Free,95.40,East,Philadelphia,PA
10,Student,Instagram Ads,2024-04-20,Free,112.60,West,Seattle,WA
11,Student,Referral Program,2024-03-12,Basic,156.80,South,Austin,TX
12,Student,TikTok Ads,2024-06-01,Free,88.20,West,Los Angeles,CA
13,Gig Worker,Facebook Ads,2024-03-22,Basic,201.30,South,Houston,TX
14,Gig Worker,Referral Program,2024-02-14,Premium,245.60,West,San Diego,CA
15,Gig Worker,TikTok Ads,2024-01-25,Basic,176.90,South,Dallas,TX
16,Young Professional,Instagram Ads,2023-12-10,Premium,356.40,East,Washington,DC
17,Young Professional,Paid Search (Google),2024-01-08,Premium Plus,412.70,West,Seattle,WA
18,Student,Organic Search,2024-04-15,Free,105.30,East,Boston,MA
19,Student,TikTok Ads,2024-05-22,Free,91.50,West,Portland,OR
20,Gig Worker,Instagram Ads,2024-02-18,Basic,223.80,South,Nashville,TN
21,Gig Worker,App Store (iOS),2024-03-05,Basic,187.20,West,Denver,CO
22,Young Professional,Organic Search,2023-11-15,Premium,389.50,East,Chicago,IL
23,Young Professional,Instagram Ads,2024-01-20,Premium,367.90,South,Atlanta,GA
24,Student,Referral Program,2024-04-08,Basic,145.70,West,San Francisco,CA
25,Gig Worker,TikTok Ads,2024-02-28,Basic,194.60,South,Austin,TX
26,Gig Worker,Referral Program,2024-01-30,Premium,258.90,West,Los Angeles,CA
27,Young Professional,Paid Search (Google),2024-02-10,Premium Plus,398.20,East,New York,NY
28,Student,TikTok Ads,2024-05-15,Free,97.80,West,Seattle,WA
29,Gig Worker,Instagram Ads,2024-03-18,Basic,206.40,South,Miami,FL
30,Young Professional,Instagram Ads,2023-12-22,Premium,371.50,West,San Diego,CA
31,Student,Instagram Ads,2024-04-25,Free,108.90,East,Philadelphia,PA
32,Gig Worker,Referral Program,2024-02-08,Premium,239.70,South,Houston,TX
33,Young Professional,Organic Search,2024-01-12,Premium Plus,394.80,East,Boston,MA
34,Student,TikTok Ads,2024-06-05,Free,85.60,West,Portland,OR
35,Gig Worker,TikTok Ads,2024-02-22,Basic,181.30,South,Dallas,TX
36,Young Professional,Paid Search (Google),2024-01-18,Premium,355.20,West,San Francisco,CA
37,Gig Worker,Instagram Ads,2024-03-10,Basic,211.80,West,Phoenix,AZ
38,Student,Referral Program,2024-04-18,Basic,149.50,East,Chicago,IL
39,Gig Worker,Facebook Ads,2024-02-26,Basic,195.40,South,Nashville,TN
40,Young Professional,Instagram Ads,2024-01-25,Premium Plus,418.60,East,New York,NY
41,Gig Worker,Referral Program,2024-02-12,Premium,251.20,South,Austin,TX
42,Student,TikTok Ads,2024-05-20,Free,102.30,West,Los Angeles,CA
43,Young Professional,Organic Search,2023-11-28,Premium,382.90,East,Washington,DC
44,Gig Worker,TikTok Ads,2024-03-08,Basic,188.70,West,Denver,CO
45,Student,Instagram Ads,2024-04-22,Free,115.40,West,Seattle,WA
46,Young Professional,Paid Search (Google),2024-02-05,Premium Plus,407.50,West,San Francisco,CA
47,Gig Worker,Instagram Ads,2024-02-16,Basic,218.90,South,Miami,FL
48,Student,Referral Program,2024-04-12,Basic,138.80,East,Philadelphia,PA
49,Young Professional,Instagram Ads,2024-01-22,Premium,363.70,South,Atlanta,GA
50,Gig Worker,Referral Program,2024-02-20,Premium,243.50,South,Houston,TX
51,Student,TikTok Ads,2024-05-28,Free,94.20,West,Portland,OR
52,Young Professional,Organic Search,2023-12-05,Premium Plus,391.30,East,Boston,MA
53,Gig Worker,TikTok Ads,2024-03-12,Basic,192.80,South,Dallas,TX
54,Student,Instagram Ads,2024-04-28,Free,107.60,East,Chicago,IL
55,Young Professional,Paid Search (Google),2024-01-28,Premium,349.90,East,New York,NY
56,Gig Worker,Instagram Ads,2024-02-24,Basic,209.30,West,San Diego,CA
57,Young Professional,Instagram Ads,2024-02-08,Premium Plus,415.20,West,San Francisco,CA
58,Student,Referral Program,2024-04-16,Basic,142.90,West,Los Angeles,CA
59,Gig Worker,Referral Program,2024-02-18,Premium,254.70,South,Austin,TX
60,Student,TikTok Ads,2024-05-18,Free,99.50,West,Seattle,WA
61,Gig Worker,TikTok Ads,2024-03-01,Basic,184.60,South,Nashville,TN
62,Young Professional,Organic Search,2024-01-05,Premium,386.40,East,Washington,DC
63,Student,Instagram Ads,2024-04-30,Free,110.80,East,Philadelphia,PA
64,Gig Worker,Instagram Ads,2024-02-28,Basic,214.20,South,Miami,FL
65,Young Professional,Paid Search (Google),2024-02-12,Premium Plus,402.90,West,San Francisco,CA
66,Student,TikTok Ads,2024-06-02,Free,92.70,West,Portland,OR
67,Gig Worker,Referral Program,2024-02-22,Premium,247.30,South,Houston,TX
68,Young Professional,Instagram Ads,2024-01-30,Premium,369.50,East,New York,NY
69,Student,Referral Program,2024-04-20,Basic,151.20,East,Chicago,IL
70,Gig Worker,TikTok Ads,2024-03-06,Basic,186.90,South,Dallas,TX
71,Young Professional,Organic Search,2023-12-18,Premium Plus,395.60,East,Boston,MA
