product_key,product_name,category_key,category_name,vertical
1,ExtraCash Advance $25,1,Cash Advances,Financial Services
2,ExtraCash Advance $50,1,Cash Advances,Financial Services
3,ExtraCash Advance $75,1,Cash Advances,Financial Services
4,ExtraCash Advance $100,1,Cash Advances,Financial Services
5,ExtraCash Advance $150,1,Cash Advances,Financial Services
6,ExtraCash Advance $200,1,Cash Advances,Financial Services
7,ExtraCash Advance $250,1,Cash Advances,Financial Services
8,ExtraCash Express Fee,6,Fees & Tips,Revenue
9,Dave Banking Account,2,Banking Services,Financial Services
10,Dave Debit Card,2,Banking Services,Financial Services
11,Direct Deposit Setup,2,Banking Services,Financial Services
12,Budgeting - Goals,3,Budgeting Tools,Financial Tools
13,Budgeting - Side Hustle Tracker,3,Budgeting Tools,Financial Tools
14,Budgeting - Spending Insights,3,Budgeting Tools,Financial Tools
15,Budgeting - Bill Forecast,3,Budgeting Tools,Financial Tools
16,Credit Builder Enrollment,4,Credit Building,Financial Services
17,Credit Score Monitoring,4,Credit Building,Financial Services
18,Monthly Subscription,5,Subscriptions,Revenue
19,Tip - $1,6,Fees & Tips,Revenue
20,Tip - $3,6,Fees & Tips,Revenue
21,Tip - $5,6,Fees & Tips,Revenue
22,Tip - $7,6,Fees & Tips,Revenue
23,Tip - $10,6,Fees & Tips,Revenue
24,ExtraCash Advance $300,1,Cash Advances,Financial Services
25,ExtraCash Advance $350,1,Cash Advances,Financial Services
26,ExtraCash Advance $400,1,Cash Advances,Financial Services
27,ExtraCash Advance $450,1,Cash Advances,Financial Services
28,ExtraCash Advance $500,1,Cash Advances,Financial Services
29,Banking - Mobile Check Deposit,2,Banking Services,Financial Services
30,Banking - ATM Withdrawal,2,Banking Services,Financial Services
31,Banking - Transfer Out,2,Banking Services,Financial Services
32,Banking - Transfer In,2,Banking Services,Financial Services
33,Budgeting - Savings Goal,3,Budgeting Tools,Financial Tools
34,Budgeting - Expense Category,3,Budgeting Tools,Financial Tools
35,Budgeting - Income Tracker,3,Budgeting Tools,Financial Tools
36,Overdraft Protection,2,Banking Services,Financial Services
37,Instant Transfer,2,Banking Services,Financial Services
38,Credit Builder - Monthly Payment,4,Credit Building,Financial Services
39,Credit Builder - Credit Report,4,Credit Building,Financial Services
40,Annual Subscription,5,Subscriptions,Revenue
41,Tip - $2,6,Fees & Tips,Revenue
42,Tip - $4,6,Fees & Tips,Revenue
43,Tip - $6,6,Fees & Tips,Revenue
44,Tip - $8,6,Fees & Tips,Revenue
45,Tip - $9,6,Fees & Tips,Revenue
46,ExtraCash Advance $125,1,Cash Advances,Financial Services
47,ExtraCash Advance $175,1,Cash Advances,Financial Services
48,ExtraCash Advance $225,1,Cash Advances,Financial Services
49,ExtraCash Advance $275,1,Cash Advances,Financial Services
50,ExtraCash Advance $325,1,Cash Advances,Financial Services
51,Banking - Account Statement,2,Banking Services,Financial Services
52,Banking - Card Replacement,2,Banking Services,Financial Services
53,Budgeting - Debt Payoff Planner,3,Budgeting Tools,Financial Tools
54,Budgeting - Monthly Budget,3,Budgeting Tools,Financial Tools
55,Budgeting - Savings Tracker,3,Budgeting Tools,Financial Tools
56,Credit Builder - Score Improvement,4,Credit Building,Financial Services
57,Credit Builder - Credit Utilization,4,Credit Building,Financial Services
58,Dave Premium Membership,5,Subscriptions,Revenue
59,Referral Bonus,6,Fees & Tips,Revenue
60,Late Fee Waiver,6,Fees & Tips,Revenue
61,ExtraCash Advance $30,1,Cash Advances,Financial Services
62,ExtraCash Advance $40,1,Cash Advances,Financial Services
63,ExtraCash Advance $60,1,Cash Advances,Financial Services
64,ExtraCash Advance $80,1,Cash Advances,Financial Services
65,ExtraCash Advance $90,1,Cash Advances,Financial Services
66,ExtraCash Advance $110,1,Cash Advances,Financial Services
67,ExtraCash Advance $120,1,Cash Advances,Financial Services
68,ExtraCash Advance $130,1,Cash Advances,Financial Services
69,ExtraCash Advance $140,1,Cash Advances,Financial Services
70,ExtraCash Advance $160,1,Cash Advances,Financial Services
71,Banking - Balance Alert,2,Banking Services,Financial Services
72,Banking - Spending Alert,2,Banking Services,Financial Services
73,Banking - Low Balance Warning,2,Banking Services,Financial Services
74,Budgeting - Emergency Fund,3,Budgeting Tools,Financial Tools
75,Budgeting - Weekly Report,3,Budgeting Tools,Financial Tools
76,Budgeting - Monthly Report,3,Budgeting Tools,Financial Tools
77,Credit Builder - Auto Payment,4,Credit Building,Financial Services
78,Credit Builder - Payment History,4,Credit Building,Financial Services
79,Quarterly Subscription,5,Subscriptions,Revenue
80,Express Delivery Fee,6,Fees & Tips,Revenue
81,ExtraCash Advance $35,1,Cash Advances,Financial Services
82,ExtraCash Advance $45,1,Cash Advances,Financial Services
83,ExtraCash Advance $55,1,Cash Advances,Financial Services
84,ExtraCash Advance $65,1,Cash Advances,Financial Services
85,ExtraCash Advance $70,1,Cash Advances,Financial Services
86,ExtraCash Advance $85,1,Cash Advances,Financial Services
87,ExtraCash Advance $95,1,Cash Advances,Financial Services
88,ExtraCash Advance $105,1,Cash Advances,Financial Services
89,ExtraCash Advance $115,1,Cash Advances,Financial Services
90,ExtraCash Advance $135,1,Cash Advances,Financial Services
91,Banking - International Transfer,2,Banking Services,Financial Services
92,Banking - Wire Transfer,2,Banking Services,Financial Services
93,Budgeting - Tax Estimate,3,Budgeting Tools,Financial Tools
94,Budgeting - Subscription Tracker,3,Budgeting Tools,Financial Tools
95,Credit Builder - Dispute Resolution,4,Credit Building,Financial Services
96,Premium Plus Subscription,5,Subscriptions,Revenue
97,Priority Support Fee,6,Fees & Tips,Revenue
98,Expedited Processing,6,Fees & Tips,Revenue
99,Account Upgrade Fee,6,Fees & Tips,Revenue
100,Service Enhancement Fee,6,Fees & Tips,Revenue
