vendor_key,vendor_name,vertical,address,city,state,zip
1,Stripe,Data Provider,3088 Main St Suite 548,Chicago,IL,60601
2,Plaid,Banking Infrastructure,3644 Main St Suite 827,Chicago,IL,60601
3,Dwolla,Data Provider,7346 Main St Suite 222,San Francisco,CA,94102
4,Marqeta,Marketing Platform,7914 Main St Suite 617,Los Angeles,CA,90001
5,Galileo Financial,Technology Services,2346 Main St Suite 387,New York,NY,10001
6,Synapse,Data Provider,1513 Main St Suite 900,New York,NY,10001
7,Unit,Marketing Platform,9562 Main St Suite 904,Boston,MA,02101
8,Alloy,Data Provider,6728 Main St Suite 333,Boston,MA,02101
9,Socure,Marketing Platform,4596 Main St Suite 831,Los Angeles,CA,90001
10,Onfido,Security Services,9520 Main St Suite 906,Boston,MA,02101
11,Persona,Data Provider,6399 Main St Suite 127,Los Angeles,CA,90001
12,Trulioo,Technology Services,3702 Main St Suite 515,Denver,CO,80201
13,Veriff,Security Services,6599 Main St Suite 632,Denver,CO,80201
14,Segment,Banking Infrastructure,6480 Main St Suite 965,Atlanta,GA,30301
15,Amplitude,Technology Services,9178 Main St Suite 794,Miami,FL,33101
16,Mixpanel,Technology Services,8164 Main St Suite 822,Seattle,WA,98101
17,Google Analytics,Marketing Platform,1431 Main St Suite 655,New York,NY,10001
18,Braze,Compliance Services,3576 Main St Suite 168,Seattle,WA,98101
19,Iterable,Compliance Services,2775 Main St Suite 398,Chicago,IL,60601
20,AWS,Compliance Services,6002 Main St Suite 270,New York,NY,10001
21,Google Cloud,Payment Processing,4667 Main St Suite 335,Chicago,IL,60601
22,Cloudflare,Data Provider,1516 Main St Suite 713,Chicago,IL,60601
23,MongoDB,Technology Services,9909 Main St Suite 349,Boston,MA,02101
24,Databricks,Compliance Services,5442 Main St Suite 328,Miami,FL,33101
25,Twilio,Security Services,8705 Main St Suite 232,Seattle,WA,98101
26,SendGrid,Marketing Platform,5247 Main St Suite 530,Seattle,WA,98101
27,Mailgun,Marketing Platform,6631 Main St Suite 908,Atlanta,GA,30301
28,Customer.io,Banking Infrastructure,3247 Main St Suite 720,San Francisco,CA,94102
29,Salesforce,Data Provider,346 Main St Suite 816,Austin,TX,78701
30,HubSpot,Data Provider,6799 Main St Suite 793,New York,NY,10001
31,Zendesk,Data Provider,5490 Main St Suite 848,Atlanta,GA,30301
32,Intercom,Security Services,2709 Main St Suite 737,Austin,TX,78701
33,Front,Banking Infrastructure,430 Main St Suite 854,Austin,TX,78701
34,Experian,Data Provider,3135 Main St Suite 549,San Francisco,CA,94102
35,TransUnion,Security Services,9014 Main St Suite 360,Boston,MA,02101
36,Equifax,Technology Services,7360 Main St Suite 391,Atlanta,GA,30301
37,ChexSystems,Security Services,5929 Main St Suite 864,Seattle,WA,98101
38,Visa,Compliance Services,4643 Main St Suite 744,Miami,FL,33101
39,Mastercard,Payment Processing,7648 Main St Suite 180,Seattle,WA,98101
40,American Express,Payment Processing,9804 Main St Suite 452,Atlanta,GA,30301
41,Facebook Ads,Banking Infrastructure,2223 Main St Suite 571,Chicago,IL,60601
42,Google Ads,Data Provider,8381 Main St Suite 350,Seattle,WA,98101
43,TikTok Ads,Payment Processing,5399 Main St Suite 986,Denver,CO,80201
44,Snapchat Ads,Data Provider,1963 Main St Suite 532,Los Angeles,CA,90001
45,Looker,Marketing Platform,5446 Main St Suite 405,Chicago,IL,60601
46,Tableau,Data Provider,3664 Main St Suite 520,Seattle,WA,98101
47,Mode Analytics,Marketing Platform,1963 Main St Suite 948,Atlanta,GA,30301
48,Retool,Compliance Services,8056 Main St Suite 944,Los Angeles,CA,90001
49,Partner Services 49,Technology Services,9129 Main St Suite 389,Denver,CO,80201
50,Partner Services 50,Marketing Platform,2224 Main St Suite 172,New York,NY,10001
51,Partner Services 51,Security Services,8933 Main St Suite 378,Atlanta,GA,30301
52,Partner Services 52,Banking Infrastructure,2479 Main St Suite 152,Miami,FL,33101
53,Partner Services 53,Marketing Platform,3455 Main St Suite 218,Seattle,WA,98101
54,Partner Services 54,Data Provider,6713 Main St Suite 562,Seattle,WA,98101
55,Partner Services 55,Payment Processing,528 Main St Suite 980,Miami,FL,33101
56,Partner Services 56,Banking Infrastructure,6920 Main St Suite 309,Boston,MA,02101
57,Partner Services 57,Payment Processing,9564 Main St Suite 375,Boston,MA,02101
58,Partner Services 58,Security Services,5716 Main St Suite 955,Austin,TX,78701
59,Partner Services 59,Marketing Platform,7339 Main St Suite 813,New York,NY,10001
60,Partner Services 60,Banking Infrastructure,9235 Main St Suite 415,Atlanta,GA,30301
61,Partner Services 61,Data Provider,3971 Main St Suite 131,Los Angeles,CA,90001
62,Partner Services 62,Compliance Services,4222 Main St Suite 639,Austin,TX,78701
63,Partner Services 63,Marketing Platform,7741 Main St Suite 107,Atlanta,GA,30301
64,Partner Services 64,Technology Services,1551 Main St Suite 768,Austin,TX,78701
65,Partner Services 65,Security Services,1502 Main St Suite 945,Seattle,WA,98101
66,Partner Services 66,Technology Services,9245 Main St Suite 428,New York,NY,10001
67,Partner Services 67,Security Services,473 Main St Suite 648,Boston,MA,02101
68,Partner Services 68,Technology Services,4167 Main St Suite 587,Boston,MA,02101
69,Partner Services 69,Marketing Platform,8014 Main St Suite 445,Miami,FL,33101
70,Partner Services 70,Technology Services,1697 Main St Suite 873,Los Angeles,CA,90001
71,Partner Services 71,Security Services,3415 Main St Suite 416,Miami,FL,33101
72,Partner Services 72,Payment Processing,6926 Main St Suite 989,Denver,CO,80201
73,Partner Services 73,Security Services,6228 Main St Suite 980,Seattle,WA,98101
74,Partner Services 74,Payment Processing,7878 Main St Suite 528,New York,NY,10001
75,Partner Services 75,Banking Infrastructure,5252 Main St Suite 682,Atlanta,GA,30301
76,Partner Services 76,Compliance Services,106 Main St Suite 404,Miami,FL,33101
77,Partner Services 77,Technology Services,3454 Main St Suite 143,Denver,CO,80201
78,Partner Services 78,Technology Services,5716 Main St Suite 296,San Francisco,CA,94102
79,Partner Services 79,Compliance Services,1448 Main St Suite 930,Miami,FL,33101
80,Partner Services 80,Banking Infrastructure,7340 Main St Suite 284,Atlanta,GA,30301
81,Partner Services 81,Banking Infrastructure,5299 Main St Suite 772,Denver,CO,80201
82,Partner Services 82,Payment Processing,1674 Main St Suite 281,Chicago,IL,60601
83,Partner Services 83,Banking Infrastructure,2948 Main St Suite 911,San Francisco,CA,94102
84,Partner Services 84,Technology Services,7833 Main St Suite 290,Austin,TX,78701
85,Partner Services 85,Security Services,3502 Main St Suite 356,Boston,MA,02101
86,Partner Services 86,Compliance Services,1717 Main St Suite 645,Chicago,IL,60601
87,Partner Services 87,Marketing Platform,2358 Main St Suite 319,Austin,TX,78701
88,Partner Services 88,Marketing Platform,5277 Main St Suite 754,Los Angeles,CA,90001
89,Partner Services 89,Technology Services,368 Main St Suite 683,Los Angeles,CA,90001
90,Partner Services 90,Compliance Services,2822 Main St Suite 501,Austin,TX,78701
91,Partner Services 91,Banking Infrastructure,8610 Main St Suite 584,Denver,CO,80201
92,Partner Services 92,Payment Processing,3987 Main St Suite 983,Austin,TX,78701
93,Partner Services 93,Compliance Services,8136 Main St Suite 405,New York,NY,10001
94,Partner Services 94,Marketing Platform,4402 Main St Suite 526,Seattle,WA,98101
95,Partner Services 95,Data Provider,1029 Main St Suite 391,Atlanta,GA,30301
96,Partner Services 96,Technology Services,1468 Main St Suite 312,Miami,FL,33101
97,Partner Services 97,Marketing Platform,2866 Main St Suite 710,Austin,TX,78701
98,Partner Services 98,Compliance Services,8782 Main St Suite 468,Atlanta,GA,30301
99,Partner Services 99,Security Services,2410 Main St Suite 581,Austin,TX,78701
100,Partner Services 100,Compliance Services,9809 Main St Suite 792,Chicago,IL,60601
101,Partner Services 101,Payment Processing,1407 Main St Suite 947,Boston,MA,02101
102,Partner Services 102,Payment Processing,5409 Main St Suite 477,Atlanta,GA,30301
103,Partner Services 103,Banking Infrastructure,6214 Main St Suite 462,Seattle,WA,98101
104,Partner Services 104,Security Services,1605 Main St Suite 752,Austin,TX,78701
105,Partner Services 105,Marketing Platform,9317 Main St Suite 523,Austin,TX,78701
106,Partner Services 106,Marketing Platform,352 Main St Suite 470,New York,NY,10001
107,Partner Services 107,Marketing Platform,2259 Main St Suite 860,San Francisco,CA,94102
108,Partner Services 108,Marketing Platform,8618 Main St Suite 392,Atlanta,GA,30301
109,Partner Services 109,Compliance Services,9350 Main St Suite 725,Miami,FL,33101
110,Partner Services 110,Technology Services,5507 Main St Suite 382,Denver,CO,80201
111,Partner Services 111,Marketing Platform,2385 Main St Suite 419,San Francisco,CA,94102
112,Partner Services 112,Payment Processing,1913 Main St Suite 353,Chicago,IL,60601
113,Partner Services 113,Technology Services,8825 Main St Suite 205,Miami,FL,33101
114,Partner Services 114,Data Provider,7933 Main St Suite 562,Seattle,WA,98101
115,Partner Services 115,Security Services,9547 Main St Suite 595,Boston,MA,02101
116,Partner Services 116,Technology Services,796 Main St Suite 738,Los Angeles,CA,90001
117,Partner Services 117,Payment Processing,6179 Main St Suite 863,Seattle,WA,98101
118,Partner Services 118,Data Provider,702 Main St Suite 616,Boston,MA,02101
119,Partner Services 119,Security Services,2119 Main St Suite 533,Los Angeles,CA,90001
120,Partner Services 120,Payment Processing,3261 Main St Suite 352,Atlanta,GA,30301
121,Partner Services 121,Technology Services,6057 Main St Suite 686,Chicago,IL,60601
122,Partner Services 122,Banking Infrastructure,8865 Main St Suite 464,Denver,CO,80201
123,Partner Services 123,Security Services,8505 Main St Suite 839,Atlanta,GA,30301
124,Partner Services 124,Compliance Services,3411 Main St Suite 837,New York,NY,10001
125,Partner Services 125,Banking Infrastructure,9203 Main St Suite 686,Boston,MA,02101
126,Partner Services 126,Compliance Services,5256 Main St Suite 660,Denver,CO,80201
127,Partner Services 127,Compliance Services,8412 Main St Suite 464,Los Angeles,CA,90001
128,Partner Services 128,Banking Infrastructure,1282 Main St Suite 535,Los Angeles,CA,90001
129,Partner Services 129,Marketing Platform,1649 Main St Suite 181,Chicago,IL,60601
130,Partner Services 130,Banking Infrastructure,8741 Main St Suite 461,Los Angeles,CA,90001
131,Partner Services 131,Marketing Platform,2311 Main St Suite 426,Austin,TX,78701
132,Partner Services 132,Technology Services,2235 Main St Suite 720,San Francisco,CA,94102
133,Partner Services 133,Payment Processing,6388 Main St Suite 875,San Francisco,CA,94102
134,Partner Services 134,Technology Services,4637 Main St Suite 842,Miami,FL,33101
135,Partner Services 135,Banking Infrastructure,5725 Main St Suite 798,Austin,TX,78701
136,Partner Services 136,Payment Processing,6354 Main St Suite 598,Miami,FL,33101
137,Partner Services 137,Compliance Services,6049 Main St Suite 367,Denver,CO,80201
138,Partner Services 138,Security Services,8363 Main St Suite 507,Boston,MA,02101
139,Partner Services 139,Security Services,7952 Main St Suite 105,San Francisco,CA,94102
140,Partner Services 140,Data Provider,9329 Main St Suite 153,Seattle,WA,98101
141,Partner Services 141,Marketing Platform,3405 Main St Suite 802,Austin,TX,78701
142,Partner Services 142,Technology Services,1931 Main St Suite 464,San Francisco,CA,94102
143,Partner Services 143,Banking Infrastructure,8802 Main St Suite 325,Atlanta,GA,30301
144,Partner Services 144,Compliance Services,3597 Main St Suite 348,Denver,CO,80201
145,Partner Services 145,Compliance Services,6131 Main St Suite 542,Los Angeles,CA,90001
146,Partner Services 146,Banking Infrastructure,9273 Main St Suite 817,Los Angeles,CA,90001
147,Partner Services 147,Marketing Platform,5826 Main St Suite 426,Austin,TX,78701
148,Partner Services 148,Payment Processing,2746 Main St Suite 206,Boston,MA,02101
149,Partner Services 149,Compliance Services,6797 Main St Suite 663,Denver,CO,80201
150,Partner Services 150,Payment Processing,1943 Main St Suite 276,Seattle,WA,98101
151,Partner Services 151,Payment Processing,8777 Main St Suite 432,Chicago,IL,60601
152,Partner Services 152,Security Services,8100 Main St Suite 397,New York,NY,10001
153,Partner Services 153,Payment Processing,4279 Main St Suite 849,San Francisco,CA,94102
154,Partner Services 154,Compliance Services,8750 Main St Suite 911,Seattle,WA,98101
155,Partner Services 155,Marketing Platform,5405 Main St Suite 342,Seattle,WA,98101
156,Partner Services 156,Marketing Platform,1523 Main St Suite 812,San Francisco,CA,94102
157,Partner Services 157,Compliance Services,5199 Main St Suite 331,Austin,TX,78701
158,Partner Services 158,Data Provider,3818 Main St Suite 147,Austin,TX,78701
159,Partner Services 159,Data Provider,4620 Main St Suite 372,Chicago,IL,60601
160,Partner Services 160,Payment Processing,8851 Main St Suite 333,Seattle,WA,98101
161,Partner Services 161,Security Services,8333 Main St Suite 190,Chicago,IL,60601
162,Partner Services 162,Marketing Platform,301 Main St Suite 512,Chicago,IL,60601
163,Partner Services 163,Security Services,2183 Main St Suite 995,Chicago,IL,60601
164,Partner Services 164,Marketing Platform,5357 Main St Suite 952,Atlanta,GA,30301
165,Partner Services 165,Marketing Platform,3614 Main St Suite 460,Chicago,IL,60601
166,Partner Services 166,Payment Processing,298 Main St Suite 948,Atlanta,GA,30301
167,Partner Services 167,Marketing Platform,3637 Main St Suite 854,Los Angeles,CA,90001
168,Partner Services 168,Compliance Services,6862 Main St Suite 201,Atlanta,GA,30301
169,Partner Services 169,Technology Services,1540 Main St Suite 102,Chicago,IL,60601
170,Partner Services 170,Banking Infrastructure,3182 Main St Suite 698,Seattle,WA,98101
171,Partner Services 171,Banking Infrastructure,8150 Main St Suite 129,Miami,FL,33101
172,Partner Services 172,Marketing Platform,1018 Main St Suite 318,Miami,FL,33101
173,Partner Services 173,Compliance Services,3261 Main St Suite 742,San Francisco,CA,94102
174,Partner Services 174,Banking Infrastructure,8109 Main St Suite 242,Austin,TX,78701
175,Partner Services 175,Data Provider,7345 Main St Suite 299,Denver,CO,80201
176,Partner Services 176,Security Services,759 Main St Suite 774,Miami,FL,33101
177,Partner Services 177,Security Services,767 Main St Suite 782,Chicago,IL,60601
178,Partner Services 178,Security Services,7483 Main St Suite 287,New York,NY,10001
179,Partner Services 179,Technology Services,2730 Main St Suite 395,Denver,CO,80201
180,Partner Services 180,Payment Processing,6907 Main St Suite 125,Boston,MA,02101
181,Partner Services 181,Data Provider,2991 Main St Suite 731,Seattle,WA,98101
182,Partner Services 182,Technology Services,1564 Main St Suite 706,Boston,MA,02101
183,Partner Services 183,Marketing Platform,7742 Main St Suite 163,Seattle,WA,98101
184,Partner Services 184,Technology Services,3556 Main St Suite 968,San Francisco,CA,94102
185,Partner Services 185,Technology Services,3146 Main St Suite 147,Denver,CO,80201
186,Partner Services 186,Data Provider,475 Main St Suite 402,Seattle,WA,98101
187,Partner Services 187,Marketing Platform,1085 Main St Suite 329,Austin,TX,78701
188,Partner Services 188,Security Services,2435 Main St Suite 776,Los Angeles,CA,90001
189,Partner Services 189,Compliance Services,217 Main St Suite 793,Atlanta,GA,30301
190,Partner Services 190,Marketing Platform,2863 Main St Suite 298,New York,NY,10001
191,Partner Services 191,Payment Processing,2646 Main St Suite 847,Chicago,IL,60601
192,Partner Services 192,Marketing Platform,4237 Main St Suite 375,Miami,FL,33101
193,Partner Services 193,Marketing Platform,3617 Main St Suite 704,Miami,FL,33101
194,Partner Services 194,Technology Services,2366 Main St Suite 924,Denver,CO,80201
195,Partner Services 195,Payment Processing,7529 Main St Suite 200,New York,NY,10001
196,Partner Services 196,Compliance Services,5794 Main St Suite 512,Atlanta,GA,30301
197,Partner Services 197,Compliance Services,5172 Main St Suite 155,Los Angeles,CA,90001
198,Partner Services 198,Compliance Services,9315 Main St Suite 554,Boston,MA,02101
199,Partner Services 199,Security Services,8176 Main St Suite 704,Miami,FL,33101
200,Partner Services 200,Data Provider,4038 Main St Suite 411,Miami,FL,33101
201,Partner Services 201,Payment Processing,4430 Main St Suite 278,Seattle,WA,98101
202,Partner Services 202,Security Services,1296 Main St Suite 609,San Francisco,CA,94102
203,Partner Services 203,Marketing Platform,948 Main St Suite 936,Boston,MA,02101
204,Partner Services 204,Data Provider,9974 Main St Suite 354,Los Angeles,CA,90001
205,Partner Services 205,Compliance Services,810 Main St Suite 739,Austin,TX,78701
206,Partner Services 206,Banking Infrastructure,5469 Main St Suite 979,Atlanta,GA,30301
207,Partner Services 207,Security Services,1977 Main St Suite 440,Atlanta,GA,30301
208,Partner Services 208,Security Services,1026 Main St Suite 650,Denver,CO,80201
209,Partner Services 209,Security Services,6617 Main St Suite 409,New York,NY,10001
210,Partner Services 210,Technology Services,2722 Main St Suite 873,Denver,CO,80201
211,Partner Services 211,Security Services,5773 Main St Suite 135,Seattle,WA,98101
212,Partner Services 212,Security Services,7062 Main St Suite 669,Los Angeles,CA,90001
213,Partner Services 213,Technology Services,5160 Main St Suite 319,Austin,TX,78701
214,Partner Services 214,Payment Processing,3650 Main St Suite 309,Seattle,WA,98101
215,Partner Services 215,Payment Processing,1638 Main St Suite 765,Chicago,IL,60601
216,Partner Services 216,Data Provider,282 Main St Suite 541,Miami,FL,33101
217,Partner Services 217,Technology Services,5405 Main St Suite 717,Denver,CO,80201
218,Partner Services 218,Payment Processing,4221 Main St Suite 985,Seattle,WA,98101
219,Partner Services 219,Payment Processing,5232 Main St Suite 803,Miami,FL,33101
220,Partner Services 220,Compliance Services,2825 Main St Suite 995,Miami,FL,33101
221,Partner Services 221,Payment Processing,8843 Main St Suite 795,Austin,TX,78701
222,Partner Services 222,Banking Infrastructure,8637 Main St Suite 959,New York,NY,10001
223,Partner Services 223,Marketing Platform,139 Main St Suite 936,New York,NY,10001
224,Partner Services 224,Data Provider,1094 Main St Suite 530,Boston,MA,02101
225,Partner Services 225,Technology Services,2188 Main St Suite 416,Los Angeles,CA,90001
226,Partner Services 226,Payment Processing,3911 Main St Suite 468,Chicago,IL,60601
227,Partner Services 227,Compliance Services,8198 Main St Suite 666,Denver,CO,80201
228,Partner Services 228,Technology Services,3836 Main St Suite 328,New York,NY,10001
229,Partner Services 229,Data Provider,3369 Main St Suite 325,Denver,CO,80201
230,Partner Services 230,Marketing Platform,6427 Main St Suite 307,Los Angeles,CA,90001
231,Partner Services 231,Payment Processing,537 Main St Suite 881,Seattle,WA,98101
232,Partner Services 232,Technology Services,4515 Main St Suite 991,Atlanta,GA,30301
233,Partner Services 233,Technology Services,1537 Main St Suite 411,Los Angeles,CA,90001
234,Partner Services 234,Security Services,1709 Main St Suite 131,Boston,MA,02101
235,Partner Services 235,Technology Services,1096 Main St Suite 166,Seattle,WA,98101
236,Partner Services 236,Marketing Platform,2623 Main St Suite 113,Atlanta,GA,30301
237,Partner Services 237,Security Services,8825 Main St Suite 412,Austin,TX,78701
238,Partner Services 238,Banking Infrastructure,7688 Main St Suite 138,Boston,MA,02101
239,Partner Services 239,Payment Processing,8937 Main St Suite 174,New York,NY,10001
240,Partner Services 240,Marketing Platform,4353 Main St Suite 751,Chicago,IL,60601
241,Partner Services 241,Data Provider,6389 Main St Suite 673,Seattle,WA,98101
242,Partner Services 242,Technology Services,7775 Main St Suite 420,Denver,CO,80201
243,Partner Services 243,Payment Processing,2786 Main St Suite 574,Austin,TX,78701
244,Partner Services 244,Banking Infrastructure,3713 Main St Suite 469,Atlanta,GA,30301
245,Partner Services 245,Data Provider,7626 Main St Suite 877,Atlanta,GA,30301
246,Partner Services 246,Payment Processing,4612 Main St Suite 610,Atlanta,GA,30301
247,Partner Services 247,Data Provider,8976 Main St Suite 410,Austin,TX,78701
248,Partner Services 248,Data Provider,3765 Main St Suite 499,Miami,FL,33101
249,Partner Services 249,Payment Processing,158 Main St Suite 670,Chicago,IL,60601
250,Partner Services 250,Compliance Services,7743 Main St Suite 202,San Francisco,CA,94102
251,Partner Services 251,Marketing Platform,3450 Main St Suite 312,Los Angeles,CA,90001
252,Partner Services 252,Security Services,6496 Main St Suite 150,San Francisco,CA,94102
